val_loss,train_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
57.558584213256836,134.92377426147462,1734120246,,False,1,adf96_00008,2024-12-13_14-04-06,4.715497016906738,4.715497016906738,580226,gpua046.delta.ncsa.illinois.edu,141.142.254.46,4.715497016906738,1
23.880752563476562,50.35772413253784,1734120249,,False,2,adf96_00008,2024-12-13_14-04-09,2.850419521331787,7.565916538238525,580226,gpua046.delta.ncsa.illinois.edu,141.142.254.46,7.565916538238525,2
22.587246894836426,43.00796255111695,1734120252,,False,3,adf96_00008,2024-12-13_14-04-12,2.9170098304748535,10.482926368713379,580226,gpua046.delta.ncsa.illinois.edu,141.142.254.46,10.482926368713379,3
20.612496852874756,36.085854063034056,1734120255,,False,4,adf96_00008,2024-12-13_14-04-15,2.8904662132263184,13.373392581939697,580226,gpua046.delta.ncsa.illinois.edu,141.142.254.46,13.373392581939697,4
22.42772102355957,30.586256036758424,1734120258,,False,5,adf96_00008,2024-12-13_14-04-18,2.8806447982788086,16.254037380218506,580226,gpua046.delta.ncsa.illinois.edu,141.142.254.46,16.254037380218506,5
21.438288688659668,33.720458011627194,1734120261,,False,6,adf96_00008,2024-12-13_14-04-21,2.933011531829834,19.18704891204834,580226,gpua046.delta.ncsa.illinois.edu,141.142.254.46,19.18704891204834,6
14.531898498535156,28.111492729187013,1734120264,,False,7,adf96_00008,2024-12-13_14-04-24,3.022958278656006,22.210007190704346,580226,gpua046.delta.ncsa.illinois.edu,141.142.254.46,22.210007190704346,7
33.60653781890869,27.693034763336183,1734120267,,False,8,adf96_00008,2024-12-13_14-04-27,2.986020803451538,25.196027994155884,580226,gpua046.delta.ncsa.illinois.edu,141.142.254.46,25.196027994155884,8
23.857011795043945,27.322626657485962,1734120270,,False,9,adf96_00008,2024-12-13_14-04-30,3.015446424484253,28.211474418640137,580226,gpua046.delta.ncsa.illinois.edu,141.142.254.46,28.211474418640137,9
16.17695188522339,25.537653541564943,1734120273,,False,10,adf96_00008,2024-12-13_14-04-33,3.0532028675079346,31.26467728614807,580226,gpua046.delta.ncsa.illinois.edu,141.142.254.46,31.26467728614807,10
